entityid,isperson,companyname,email,phone,address1_addressName,address1_addressee,address1_phone,address1_line1,address1_line2,address1_city,address1_state,address1_zipCode,address1_country,terms,Track 1099,Tax ID
FLEXITALLIC,FALSE,FLEXITALLIC,,,Bill-To,FLEXITALLIC,,6915 HWY 225,,DEER PARK,TX,77536,United States,2,No,
FLOW CONTROL EQUIPMENT,FALSE,FLOW CONTROL EQUIPMENT,,,Bill-To,FLOW CONTROL EQUIPMENT,,POB 60939,,LAFAYETTE,LA,70596-0939,United States,2,No,
FLOW LINK SYSTEMS,FALSE,FLOW LINK SYSTEMS,,,Bill-To,FLOW LINK SYSTEMS,,,,,,,INDIA,2,No,
FLOWSERVE CORP,FALSE,FLOWSERVE CORP,,,Bill-To,FLOWSERVE CORP,,POB 98325,,CHICAGO,IL,60693,United States,2,No,
FORD CREDIT.,FALSE,FORD CREDIT.,,,Bill-To,FORD CREDIT.,,PO BOX 650575,,DALLAS,TX,75265-0575,United States,2,No,
"FORUM US, INC",FALSE,"FORUM US, INC",,(620) 437-2440,Bill-To,"FORUM US, INC",,POB 203325,,DALLAS,TX,75320-3325,United States,2,No,
FRIO A.C. & MECHANICAL,FALSE,FRIO A.C. & MECHANICAL,frioac77901@gmail.com,(361) 550-1580,Bill-To,FRIO A.C. & MECHANICAL,,POB 4030,,VICTORIA,TX,77903,United States,1,No,
FUELMAN,FALSE,FUELMAN,,,Bill-To,FUELMAN,,POB 70887,,CHARLOTTE,NC,28272-0887,United States,2,No,
GAS AND SUPPLY OF TEXAS,FALSE,GAS AND SUPPLY OF TEXAS,,,Bill-To,GAS AND SUPPLY OF TEXAS,,125 THRUWAY PARK,,BROUSSARD,LA,70518-3602,United States,2,No,
"GEMTRIM OF HOUMA, LLC",FALSE,"GEMTRIM OF HOUMA, LLC",,,Bill-To,"GEMTRIM OF HOUMA, LLC",,148 EQUITY BLVD,,HOUMA,LA,70360,United States,2,No,
GENE'S MACHINE,FALSE,GENE'S MACHINE,genes@genesmachine.com,(361) 573-7146,Bill-To,GENE'S MACHINE,,3585 NURSERY ROAD,,VICTORIA,TX,77904,United States,2,No,
GERONIMO ALLOYS,FALSE,GERONIMO ALLOYS,,,Bill-To,GERONIMO ALLOYS,,"ATTN: ACCTS REC
285 NAVARRO DRIVE",,SEQUIN,TX,78155,United States,2,No,
GMEC Industries,FALSE,GMEC Industries,,(713) 996-7772,Bill-To,GMEC Industries,,PO Box 421841,,Houston,TX,77242,United States,11,No,
GOODWIN,FALSE,GOODWIN,,,Bill-To,GOODWIN,,2306 N NAVARRO,,VICTORIA,TX,77901,United States,2,No,
GORDON INSTRUMENT LABS,FALSE,GORDON INSTRUMENT LABS,,,Bill-To,GORDON INSTRUMENT LABS,,2017 NE ADAMS STREET,,PEORIA,IL,61603,United States,2,No,
GRAINGER,FALSE,GRAINGER,,,Bill-To,GRAINGER,,"DEPT 822572434
POB 419267",,KANSAS CITY,MO,64141-6267,United States,2,No,
GREAT WESTERN VALVE INC,FALSE,GREAT WESTERN VALVE INC,,,Bill-To,GREAT WESTERN VALVE INC,,"POB 4356
DEPT# 1909",,HOUSTON,TX,77210-4356,United States,2,No,
Guardian,FALSE,Guardian,,(800) 627-4200,Bill-To,Guardian,,PO Box 677458,,Dallas,TX,75267-7458,United States,20,No,
GUJARAT ALLOYS CAST,FALSE,GUJARAT ALLOYS CAST,,,Bill-To,GUJARAT ALLOYS CAST,,"6-ANKUR INDUSTRIAL COMPLEX
SHAPAR",,RAJKOT,,360004,INDIA,2,No,
GULF BOLT AND SUPPLY,FALSE,GULF BOLT AND SUPPLY,,(361) 575-6441,Bill-To,GULF BOLT AND SUPPLY,,POB 2054,,VICTORIA,TX,77902,United States,2,No,
GULF CAPITAL BANK,FALSE,GULF CAPITAL BANK,,(713) 999-8800,Bill-To,GULF CAPITAL BANK,,"1 RIVERWAY
SUITE 150",,HOUSTON,TX,77056,United States,2,No,
GULF COAST TMC.,FALSE,GULF COAST TMC.,bw@gulfcoasttmc.com,(225) 683-6636,Bill-To,GULF COAST TMC.,,POB 8337,,CLINTON,LA,70722,United States,2,No,
GULF-SENSORS,FALSE,GULF-SENSORS,,,Bill-To,GULF-SENSORS,,POB 45543,,BATON ROUGE,LA,70895,United States,2,No,
Gustavo Villafuerte,FALSE,Gustavo Villafuerte,,,Bill-To,Gustavo Villafuerte,,12811 Shannon Hills Dr,,Houston,TX,77099,United States,20,Yes,629-44-9803
H&E EQUIPMENT SERVICES,FALSE,H&E EQUIPMENT SERVICES,,,Bill-To,H&E EQUIPMENT SERVICES,,POB 849850,,DALLAS,TX,75284-9850,United States,2,No,
HANSON SPRING CO,FALSE,HANSON SPRING CO,,(972) 398-9938,Bill-To,HANSON SPRING CO,,1609 PRECISION DRIVE STE# 1000,,PLANO,TX,75074-8642,United States,2,No,
HARTZ PEST CONTROLS,FALSE,HARTZ PEST CONTROLS,,(713) 461-4866,Bill-To,HARTZ PEST CONTROLS,,1814 W SAM HOUSTON PKW N,,HOUSTON,TX,77043,United States,1,No,
HAUGHTON VISION,FALSE,HAUGHTON VISION,,,Bill-To,HAUGHTON VISION,,4010 HWY 80,,HAUGHTON,LA,71037,United States,2,No,
HAWKVALVE,FALSE,HAWKVALVE,,,Bill-To,HAWKVALVE,,"9101 JAMEEL ROAD
STE #110",,HOUSTON,TX,77040,United States,2,No,
"HAYGOR INSTRUMENT & ENG., INC.",FALSE,"HAYGOR INSTRUMENT & ENG., INC.",,713-641-1791,Bill-To,"HAYGOR INSTRUMENT & ENG., INC.",,6322 NUNN ST,,HOUSTON,TX,77087,United States,2,No,
HCTRA-VIOLATIONS,FALSE,HCTRA-VIOLATIONS,,,Bill-To,HCTRA-VIOLATIONS,,"POB 4440
DEPT 8",,HOUSTON,TX,77210-4440,United States,2,No,
HEMISPHERE FREIGHT & BROKERAGE,FALSE,HEMISPHERE FREIGHT & BROKERAGE,,(416) 252-5661,Bill-To,HEMISPHERE FREIGHT & BROKERAGE,,"21 GOODRICH RD
UNIT #3",,ETOBICOKE,ONTARIO,M8Z 6A3,CANADA,2,No,
HERC RENTALS,FALSE,HERC RENTALS,,,Bill-To,HERC RENTALS,,POB 936257,,ATLANTA,GA,31193,United States,2,No,
HILES CONTROL.,FALSE,HILES CONTROL.,hilemail@hilealabama.com,(205) 620-4000,Bill-To,HILES CONTROL.,,311 APPLEGATE PKWY,,PELHAM,AL,35124,United States,2,No,
HMS - HOUSTON MANF SPECIALTY,FALSE,HMS - HOUSTON MANF SPECIALTY,,,Bill-To,HMS - HOUSTON MANF SPECIALTY,,POB 24339,,HOUSTON,TX,77229-4339,United States,2,No,
Hollingsworth & Vose Company.,FALSE,Hollingsworth & Vose Company.,,,Bill-To,Hollingsworth & Vose Company.,,112 Washington Street,,East Walpole,MA,02032,United States,2,No,
HOOPER COMMUNICATIONS,FALSE,HOOPER COMMUNICATIONS,,,Bill-To,HOOPER COMMUNICATIONS,,14811 ST MARYS LN #202,,HOUSTON,TX,77079,United States,2,No,
HOOPERS MACHINE & WELD SERVICE,FALSE,HOOPERS MACHINE & WELD SERVICE,hoopersmachine@yahoo.com,318-382-8464,Bill-To,HOOPERS MACHINE & WELD SERVICE,,9822 HWY 80,,MINDEN,LA,71055,United States,2,No,
HOUMA VALVE SERVICE,FALSE,HOUMA VALVE SERVICE,,,Bill-To,HOUMA VALVE SERVICE,,POB 5041,,HOUMA,LA,70361-5041,United States,2,No,
HOUSTON UNLIMITED INC,FALSE,HOUSTON UNLIMITED INC,,(979) 836-7568,Bill-To,HOUSTON UNLIMITED INC,,"METAL PROCESSING
P.O. BOX 143",,CHAPPELL HILL,TX,7568,United States,2,No,
HUGG & HALL EQUIPMENT CO,FALSE,HUGG & HALL EQUIPMENT CO,,(501) 562-1262,Bill-To,HUGG & HALL EQUIPMENT CO,,POB 194110,,LITTLE ROCK,AR,72219-4110,United States,4,No,
Hydrorex,FALSE,Hydrorex,eli@hydrorex.com,,Bill-To,Hydrorex,,13360 Telge Rd #606,,Cypress,TX,77429,United States,2,No,
IMPRESSIONS ADVERTISING,FALSE,IMPRESSIONS ADVERTISING,,,Bill-To,IMPRESSIONS ADVERTISING,,128 FRONTAGE ROAD,,MINDEN,LA,71055-7705,United States,2,No,
INDUSTRIAL BEARING & SERVICES,FALSE,INDUSTRIAL BEARING & SERVICES,,,Bill-To,INDUSTRIAL BEARING & SERVICES,,PO BOX 41325,,HOUSTON,TX,77241,United States,2,No,
INDUSTRIAL EQUIPMENT CO,FALSE,INDUSTRIAL EQUIPMENT CO,,,Bill-To,INDUSTRIAL EQUIPMENT CO,,POB 14790,,HOUSTON,TX,77221-4790,United States,2,No,
INDUSTRIAL MILL & MAINTENANCE,FALSE,INDUSTRIAL MILL & MAINTENANCE,,(800) 537-1218,Bill-To,INDUSTRIAL MILL & MAINTENANCE,,POB 6188,,TEXARKANA,TX,75505,United States,2,No,
Industrial Valves,FALSE,Industrial Valves,,,Bill-To,Industrial Valves,,"215/216 Vijay Industrial Estate
Chincholi Bunder, Link Road",,"Malad West, Mumbai",Mumbai,400 064,India,2,No,
INTERSTATE INDUSTRIES,FALSE,INTERSTATE INDUSTRIES,,318-425-7771,Bill-To,INTERSTATE INDUSTRIES,,PO BOX 7774,,SHREVEPORT,LA,71137-7774,United States,2,No,
IRISNDT,FALSE,IRISNDT,,(713) 722-7177,Bill-To,IRISNDT,,1115 W 41 STREET,,TULSA,OK,74107,United States,2,No,
ISN SOFTWARE CORP,FALSE,ISN SOFTWARE CORP,,,Bill-To,ISN SOFTWARE CORP,,POB 841808,,DALLAS,TX,75284-1808,United States,3,No,
IVEY'S HAUGHTON,FALSE,IVEY'S HAUGHTON,,,Bill-To,IVEY'S HAUGHTON,,900 POLK STREET,,MANSFIELD,LA,71052,United States,20,No,
J&J EXTERMINATERS,FALSE,J&J EXTERMINATERS,,(318) 219-3500,Bill-To,J&J EXTERMINATERS,,POB 51286,,LAFAYETTE,LA,70505-1286,United States,2,No,
JARECKI VALVES,FALSE,JARECKI VALVES,sales@jareckivalves.com,(814) 474-2666,Bill-To,JARECKI VALVES,,6910 WEST RIDGE ROAD,,FAIRVIEW,PA,16415,United States,2,No,
"JEAN SIMPSON TEMP. EMPLOYMENT, INC.",FALSE,"JEAN SIMPSON TEMP. EMPLOYMENT, INC.",,318-869-3494,Bill-To,"JEAN SIMPSON TEMP. EMPLOYMENT, INC.",,1318 SHREVEPORT BARKSDALE HWY,,SHREVEPORT,LA,71105-2408,United States,2,No,
JOE NETTLES PLUMBING,FALSE,JOE NETTLES PLUMBING,,(713) 463-6080,Bill-To,JOE NETTLES PLUMBING,,"MPL#509
10834 WARWANA ROAD",,HOUSTON,TX,77043,United States,2,No,
JOHN H. CARTER,FALSE,JOHN H. CARTER,,504-887-8550,Bill-To,JOHN H. CARTER,,PO BOX 669220,,DALLAS,TX,75266-9220,United States,2,No,
JORY L. BERNARD,FALSE,JORY L. BERNARD,,,Bill-To,JORY L. BERNARD,,POB 82448,,LAFAYETTE,LA,70598-2448,United States,2,No,
JOSEPH T RYERSON & SON,FALSE,JOSEPH T RYERSON & SON,,,Bill-To,JOSEPH T RYERSON & SON,,POB 731036,,DALLAS,TX,75373,United States,2,No,
JULIAN C WHITTINGTON TAX COLLECTOR,FALSE,JULIAN C WHITTINGTON TAX COLLECTOR,,,Bill-To,JULIAN C WHITTINGTON TAX COLLECTOR,,POB 850,,BENTON,LA,71006-0850,United States,2,No,
"JYD-Bamboo, Ltd",FALSE,"JYD-Bamboo, Ltd",cbiehle@derrickinterests.com,(713) 529-4244,Bill-To,"JYD-Bamboo, Ltd",,"3900 Essex Lane, Suite 340",,Houston,TX,77027,United States,4,Yes,87-3744961
KAISER FRANCIS OIL COMPANY,FALSE,KAISER FRANCIS OIL COMPANY,,,Bill-To,KAISER FRANCIS OIL COMPANY,,PO BOX 21468,,TULSA,OK,74121,United States,2,No,
KALSI ENGINEERING INC.,FALSE,KALSI ENGINEERING INC.,,(281) 240-6500,Bill-To,KALSI ENGINEERING INC.,,745 PARK TWO DRIVE,,SUGARLAND,TX,77478,United States,2,No,
"Kinder Morgan, Inc",FALSE,"Kinder Morgan, Inc",,,Bill-To,"Kinder Morgan, Inc",,"Attn: Sharon Mosby
1001 Louisiana Street, Suite 1000",,Houston,TX,77002,United States,2,No,
"KOESTLER PALLET SALES, INC",FALSE,"KOESTLER PALLET SALES, INC",,,Bill-To,"KOESTLER PALLET SALES, INC",,POB 162,,EDWARDS,MS,39066,United States,2,No,
KPA,FALSE,KPA,,866-356-1735,Bill-To,KPA,,POB 83301,,WOBURN,MA,01813-3301,United States,2,No,
LEAF,FALSE,LEAF,,,Bill-To,LEAF,,POB 5066,,HARTFORD,CT,06115-5066,United States,2,No,
LEGACY HOTSHOT & LOGISTICS,FALSE,LEGACY HOTSHOT & LOGISTICS,legacyhotshot361@gmail.com,(210) 501-2603,Bill-To,LEGACY HOTSHOT & LOGISTICS,,610 MASON CIRCLE,,VICTORIA,TX,77904,United States,4,No,
LFM Investments,FALSE,LFM Investments,franklin.myers@comcast.net,,Bill-To,LFM Investments,,84 SADLEBROOK LANE,,HOUSTON,TX,77024,United States,2,Yes,47-1664485
LINDE GAS & EQUIPMENT,FALSE,LINDE GAS & EQUIPMENT,,(361) 575-6473,Bill-To,LINDE GAS & EQUIPMENT,,"DEPT 0812
POB 120812",,DALLAS,TX,75312-0812,United States,2,No,
LOGIX FIBER NETWORKS,FALSE,LOGIX FIBER NETWORKS,,,Bill-To,LOGIX FIBER NETWORKS,,POB 734120,,DALLAS,TX,75373-4120,United States,2,No,
LOUISIANA DEPARTMENT OF REVENUE,FALSE,LOUISIANA DEPARTMENT OF REVENUE,,,Bill-To,LOUISIANA DEPARTMENT OF REVENUE,,POB 201,,BATON ROUGE,LA,70821-0201,United States,2,No,
Louisiana Secretary of State,FALSE,Louisiana Secretary of State,,(225) 922-2880,Bill-To,Louisiana Secretary of State,,PO Box 94125,,Baton Rouge,LA,70804-9125,United States,2,No,
LST HEAT TREATING,FALSE,LST HEAT TREATING,chinson@lstheattreating.com,(903) 757-2115,Bill-To,LST HEAT TREATING,,POB 2569,,LONGVIEW,TX,75606,United States,2,No,
"M & R MACHINE WORKS, INC",FALSE,"M & R MACHINE WORKS, INC",m.rmachineworks@att.net,(713) 462-0746,Bill-To,"M & R MACHINE WORKS, INC",,P.O. Box 431709,,Houston,TX,77243-1709,United States,2,No,
M&M GUTTERS AND CONSTRUCTION,FALSE,M&M GUTTERS AND CONSTRUCTION,,(832) 274-1315,Bill-To,M&M GUTTERS AND CONSTRUCTION,,1723 PACKER LANE,,STAFFORD,TX,77477,United States,2,No,
M&P FLANGE & PIPE PROTECTION,FALSE,M&P FLANGE & PIPE PROTECTION,shaun@m-p.com,(800) 888-2605,Bill-To,M&P FLANGE & PIPE PROTECTION,,9426 KATY FWY BLDG #11,,HOUSTON,TX,77055,United States,2,No,
M.A. Lindley Interests,FALSE,M.A. Lindley Interests,stevel@jlllc.net,,Bill-To,M.A. Lindley Interests,,3900 Essex Lane #400,,Houston,TX,77027,United States,2,Yes,75-2736273
M/S SHIVAMTECH ENGINEERING DESIGN PVT. LTD.,FALSE,M/S SHIVAMTECH ENGINEERING DESIGN PVT. LTD.,,,Bill-To,M/S SHIVAMTECH ENGINEERING DESIGN PVT. LTD.,,"A-603, TEERTH TECHNOSPACE, BANER",,PUNE,,411045,INDIA,2,No,
MACKEY LAW FIRM PLLC,FALSE,MACKEY LAW FIRM PLLC,cole@mackey.legal,(346) 954-8287,Bill-To,MACKEY LAW FIRM PLLC,,"9525 KATY FREEWAY
STE# 260",,HOUSTON,TX,77024,United States,2,Yes,83-1314263
MAINE INDUSTRIAL,FALSE,MAINE INDUSTRIAL,sales@maineindustrialsupply.com,(207) 451-8886,Bill-To,MAINE INDUSTRIAL,,POB 301,,YORK,ME,03909,United States,2,No,
"MAINLINE MACHINE, INC",FALSE,"MAINLINE MACHINE, INC",,337-837-2014,Bill-To,"MAINLINE MACHINE, INC",,POB 1105,,BROUSSARD,LA,70518,United States,2,No,
MARCO,FALSE,MARCO,,,Bill-To,MARCO,,3425 E LOCUST STREET,,DAVENPORT,IA,52803,United States,2,No,
MARSH MCLENNAN AGENCY,FALSE,MARSH MCLENNAN AGENCY,,,Bill-To,MARSH MCLENNAN AGENCY,,POB 843054,,DALLAS,TX,75284-3054,United States,4,No,
MARSH WORTHAM,FALSE,MARSH WORTHAM,,,Bill-To,MARSH WORTHAM,,POB 301513,,DALLAS,TX,75303-1513,United States,2,No,
MARSHBELLOFRAM,FALSE,MARSHBELLOFRAM,,,Bill-To,MARSHBELLOFRAM,,POB 772254,,DETROIT,MI,48277-2254,United States,2,No,
"MASS FLOW TECHNOLOGY, INC",FALSE,"MASS FLOW TECHNOLOGY, INC",,,Bill-To,"MASS FLOW TECHNOLOGY, INC",,3523 HWY 146,,BAYTOWN,TX,77520,United States,2,No,
MCMASTER-CARR,FALSE,MCMASTER-CARR,,,Bill-To,MCMASTER-CARR,,POB 7690,,CHICAGO,IL,60680-7690,United States,2,No,
MEC-TRIC CONTROL,FALSE,MEC-TRIC CONTROL,susan.neumann@mec-tric.com,(704) 953-2999,Bill-To,MEC-TRIC CONTROL,,PO BOX 221918,,CHARLOTTE,NC,28222,United States,2,No,
"MID SOUTH FIRE SOLUTIONS, LLC",FALSE,"MID SOUTH FIRE SOLUTIONS, LLC",,318-226-9821,Bill-To,"MID SOUTH FIRE SOLUTIONS, LLC",,669 AERO DRIVE,,SHREVEPORT,LA,71107,United States,2,No,
MIDWEST VALVE PARTS SUPPLY,FALSE,MIDWEST VALVE PARTS SUPPLY,Miranda.Temple@iss-na.com,(440) 729-0008,Bill-To,MIDWEST VALVE PARTS SUPPLY,,2601 HAPPY VALLEY ROAD,,GLASGOW,KY,42141,United States,2,No,
Midwestern Equipment LC,FALSE,Midwestern Equipment LC,accounting@midwesternequip.com,(888) 328-0880,Bill-To,Midwestern Equipment LC,,1914 Tostevin Street,,Council Bluffs,IA,51503,United States,2,No,
MIHLFELD & ASSOCIATES,FALSE,MIHLFELD & ASSOCIATES,,,Bill-To,MIHLFELD & ASSOCIATES,,POB 11047,,SPRINGFIELD,MO,65808-1047,United States,4,No,
MILLER VALVE & CONTROLS,FALSE,MILLER VALVE & CONTROLS,,(205) 871-7778,Bill-To,MILLER VALVE & CONTROLS,,POB 531087,,BIRMINGHAM,AL,35253,United States,2,No,
MIMS STEEL COMPANY,FALSE,MIMS STEEL COMPANY,paul@mimssteel.net,(972) 243-1314,Bill-To,MIMS STEEL COMPANY,,POB 59925,,DALLAS,TX,75229,United States,2,No,
MLC CAD SYSTEMS LLC,FALSE,MLC CAD SYSTEMS LLC,,,Bill-To,MLC CAD SYSTEMS LLC,,"4625 W WILLIAM CANNON DRIVE
BLDG #4",,AUSTIN,TX,78749,United States,2,No,
MONARCH STAINLESS LTD,FALSE,MONARCH STAINLESS LTD,,(713) 690-0483,Bill-To,MONARCH STAINLESS LTD,,"4545 PINE TIMBERS 
STE# 300",,HOUSTON,TX,77041-9324,United States,2,No,
"Monroe Iron & Metal Co, Inc",FALSE,"Monroe Iron & Metal Co, Inc",,318-221-8355,Bill-To,"Monroe Iron & Metal Co, Inc",,200 N McNeil St,,Shreveport,LA,71101,United States,2,No,
"MOODY PRICE, L.L.C.",FALSE,"MOODY PRICE, L.L.C.",,504-344-0511,Bill-To,"MOODY PRICE, L.L.C.",,"DEPT 0592
POB 120592",,DALLAS,TX,75312-0592,United States,2,No,
MOORE & MOORE TRANSPORT,FALSE,MOORE & MOORE TRANSPORT,moorealbert@bellsouth.net,,Bill-To,MOORE & MOORE TRANSPORT,,4816 SCOTT DRIVE,,GREENWOOD,LA,71033,United States,2,Yes,26-3380581
MOORE METAL PLATING,FALSE,MOORE METAL PLATING,,,Bill-To,MOORE METAL PLATING,,POB 6045,,BOSSIER CITY,LA,71171,United States,2,No,
MRC GLOBAL,FALSE,MRC GLOBAL,,,Bill-To,MRC GLOBAL,,POB 204392,,DALLAS,TX,75320-4392,United States,2,No,
MSC,FALSE,MSC,,,Bill-To,MSC,,POB 953635,,SAINT LOUIS,MO,63195-3635,United States,2,No,
MSM,FALSE,MSM,,,Bill-To,MSM,,"DEPT 40261
POB 2153",,BIRMINGHAM,AL,35287-9330,United States,2,No,
MUELLER MFG INC,FALSE,MUELLER MFG INC,eric@muellermfg.com,(979) 265-8303,Bill-To,MUELLER MFG INC,,2200 N BRAZOSPORT BLVD,,RICHWOOD,TX,77531,United States,2,No,
MURRAY RESOURCES,FALSE,MURRAY RESOURCES,,(713) 935-0009,Bill-To,MURRAY RESOURCES,,"800 GESSNER ROAD
SUITE # 170",,HOUSTON,TX,77024-4256,United States,1,No,
MUSIC MOUNTAIN,FALSE,MUSIC MOUNTAIN,,318-425-1122,Bill-To,MUSIC MOUNTAIN,,305 STONER AVENUE,,SHREVEPORT,LA,71101,United States,20,No,
MW Energy West Texas.,FALSE,MW Energy West Texas.,,,Bill-To,MW Energy West Texas.,,"1515 Arapahoe Street
Tower 1, ste# 1600",,Denver,CO,80202,United States,2,No,
N & R MACHINE SALES,FALSE,N & R MACHINE SALES,,(936) 825-2600,Bill-To,N & R MACHINE SALES,,9292 INDUSTRIAL DRIVE,,NAVASOTA,TX,77868,United States,4,No,
NAMEPLATES,FALSE,NAMEPLATES,,,Bill-To,NAMEPLATES,,POB 860613,,MINNEAPOLIS,MN,55486-0613,United States,2,No,
NATIONAL SPECIALITY ALLOYS INC,FALSE,NATIONAL SPECIALITY ALLOYS INC,,,Bill-To,NATIONAL SPECIALITY ALLOYS INC,,P.O. BOX 677692,,DALLAS,TX,75267-7692,United States,2,No,
NATIONWIDE TRAILERS,FALSE,NATIONWIDE TRAILERS,,,Bill-To,NATIONWIDE TRAILERS,,8410 N FRWY,,HOUSTON,TX,77037,United States,2,No,
NATTIN SEPTIC SERVICE,FALSE,NATTIN SEPTIC SERVICE,,318-464-6619,Bill-To,NATTIN SEPTIC SERVICE,,1903 MARS DRIVE,,BOSSIER CITY,LA,71112,United States,4,No,
NEC FINANCIAL SERVICES,FALSE,NEC FINANCIAL SERVICES,,,Bill-To,NEC FINANCIAL SERVICES,,POB 100558,,PASADENA,CA,911890558,United States,2,No,
NEIL JOHNSON PHOTOS,FALSE,NEIL JOHNSON PHOTOS,,,Bill-To,NEIL JOHNSON PHOTOS,,1301 LOUISIANA AVENUE,,SHREVEPORT,LA,71101,United States,2,No,
NINGBO WWS INDUSTRIAL,FALSE,NINGBO WWS INDUSTRIAL,,,Bill-To,NINGBO WWS INDUSTRIAL,,12 ZHONG SHAN DONG YILU,,SHANGHAI,CHINA,,CHINA,2,No,
Nouryon Surface Chemistry LLC,FALSE,Nouryon Surface Chemistry LLC,,,Bill-To,Nouryon Surface Chemistry LLC,,PO Box 742582,,Atlanta,GA,30374-2582,United States,2,No,
NSA,FALSE,NSA,,(281) 345-2115,Bill-To,NSA,,POB 677692,,DALLAS,TX,75267-7692,United States,16,No,
"O'NEALGAS, INC",FALSE,"O'NEALGAS, INC",,(800) 259-5051,Bill-To,"O'NEALGAS, INC",,POB 505,,CHOUDRANT,LA,71227,United States,2,No,
"OLD DOMINION FREIGHT LINE, INC.",FALSE,"OLD DOMINION FREIGHT LINE, INC.",,336-802-5166,Bill-To,"OLD DOMINION FREIGHT LINE, INC.",,PO BOX 841324,,DALLAS,TX,75284-1324,United States,2,No,
OLIPHINT ENTERPRISES,FALSE,OLIPHINT ENTERPRISES,,(318) 347-8853,Bill-To,OLIPHINT ENTERPRISES,,3813-2 SHED ROAD,,BOSSIER CITY,LA,71111,United States,20,No,
OLIVER VAN HORN CO LLC,FALSE,OLIVER VAN HORN CO LLC,,,Bill-To,OLIVER VAN HORN CO LLC,,POB 733455,,DALLAS,TX,75373-3455,United States,2,No,
ON THE SPOT SERVICES,FALSE,ON THE SPOT SERVICES,tashamartin@aol.com,318-584-2192,Bill-To,ON THE SPOT SERVICES,,294 LONGHORN DRIVE,,BOSSIER CITY,LA,71112,United States,2,Yes,90-1187817
ONSITE DRUG & ALCOHOL TESTING,FALSE,ONSITE DRUG & ALCOHOL TESTING,,,Bill-To,ONSITE DRUG & ALCOHOL TESTING,,"2438 EAST TEXAS STREET
STE# 1",,BOSSIER CITY,LA,71111,United States,2,No,
OPPORTUNE LLP,FALSE,OPPORTUNE LLP,,,Bill-To,OPPORTUNE LLP,,711 LOUISIANA STE# 3100,,HOUSTON,TX,77002,United States,2,No,
OPTIMUM,FALSE,OPTIMUM,,,Bill-To,OPTIMUM,,PO BOX 70340,,PHILADELPHIA,PA,19176-0340,United States,2,No,
Optum Bank,FALSE,Optum Bank,,,Bill-To,Optum Bank,,POB 84019,,CHICAGO,IL,60689-4019,United States,2,No,
Oracle NetSuite,FALSE,Oracle NetSuite,,(800) 762-5524,Bill-To,Oracle NetSuite,,2300 Oracle Way,,Austin,TX,78741,United States,2,No,
OSCAR'S PEST & TERMITE,FALSE,OSCAR'S PEST & TERMITE,,,Bill-To,OSCAR'S PEST & TERMITE,,POB 4198,,VICTORIA,TX,77903-4198,United States,2,No,
OX BOX,FALSE,OX BOX,,,Bill-To,OX BOX,,POB 5442,,CAROL STREAM,IL,60197-5442,United States,2,No,
Paapri Cloud Technologies,FALSE,Paapri Cloud Technologies,,,Bill-To,Paapri Cloud Technologies,,1007 S Chapin St,,South Bend,IN,46601,United States,2,No,
PARISH OF SABINE SALES AND USE TAX COMMISSION,FALSE,PARISH OF SABINE SALES AND USE TAX COMMISSION,,,Bill-To,PARISH OF SABINE SALES AND USE TAX COMMISSION,,POB 249,,MANY,LA,71449,United States,2,No,
PARKER WHOLESALE,FALSE,PARKER WHOLESALE,,,Bill-To,PARKER WHOLESALE,,POB 751,,BASTROP,LA,71220,United States,2,No,
PAYSAFE,FALSE,PAYSAFE,,,Bill-To,PAYSAFE,,"2600 MICHELSON DRIVE
STE# 1600",,IRVINE,CA,92616,United States,2,No,
PEAK MACHINERY,FALSE,PEAK MACHINERY,lorena@peakmachinery.com,(612) 802-4791,Bill-To,PEAK MACHINERY,,12084 JAMESTOWN ST NE,,BLAINE,MN,55449,United States,2,No,
PERFORMANCE LINE TOOL CENTER,FALSE,PERFORMANCE LINE TOOL CENTER,,,Bill-To,PERFORMANCE LINE TOOL CENTER,,"ACCOUNTING
130 SOUTH TELEGRAPH ROAD",,WATERFORD,MI,48328,United States,2,No,
PETTUS OFFICE PRODUCTS,FALSE,PETTUS OFFICE PRODUCTS,,(800) 530-7445,Bill-To,PETTUS OFFICE PRODUCTS,,2 FREEWAY DRIVE,,LITTLE ROCK,AR,72204,United States,2,No,
"PHASE ENGINEERING, INC",FALSE,"PHASE ENGINEERING, INC",,,Bill-To,"PHASE ENGINEERING, INC",,5524 CORNISH STREET,,HOUSTON,TX,77007,United States,2,No,
Phoenix Manufacturing,FALSE,Phoenix Manufacturing,phoenix_040121@yahoo.com,+91 9148789939,Bill-To,Phoenix Manufacturing,,"#350 6th Main Road, BHCS Layout, Uttarhalli",,Bangalore,,560061,India,2,No,
PIONEER METAL FINISHING LLC,FALSE,PIONEER METAL FINISHING LLC,,,Bill-To,PIONEER METAL FINISHING LLC,,POB 28440,,GREEN BAY,WI,54324-0440,United States,2,No,
PLAN B SERVICES & SOLUTIONS,FALSE,PLAN B SERVICES & SOLUTIONS,accounting@planbtulsa.com,(918) 806-2327,Bill-To,PLAN B SERVICES & SOLUTIONS,,25 N LAWTON AVENUE,,TULSA,OK,74127,United States,2,No,
PLIC - SBD Grand Island,FALSE,PLIC - SBD Grand Island,,,Bill-To,PLIC - SBD Grand Island,,POB 10372,,DES MOINES,IA,50306-0372,United States,2,No,
