entityId,isperson,companyname,category,email,phone,Address1_Addressee,Address1_phone,Address1_line1,Address1_city,Address1_state,Address1_zipCode,Address1_country,Address1_defaultBilling,Address1_defaultShipping,terms,Taxable Status
DOMTAR INDUSTRIES,No,DOMTAR INDUSTRIES,5,ashdownapinvoices@domtar.com,(870) 898-2711,DOMTAR INDUSTRIES,(870) 898-2711,285 HWY 71 S,ASHDOWN,AR,71822,United States,Yes,No,16,No
DOUBLE B CUBED LLC,No,DOUBLE B CUBED LLC,10,cbrown@legacyfcp.com,,DOUBLE B CUBED LLC,,POB 9847,MIDLAND,TX,79708,United States,Yes,No,2,No
DR. REDDY,No,DR. REDDY,3,suzanne.Traylor@drreddys.com,(318) 861-8392,DR. REDDY,(318) 861-8392,8800 LINE AVENUE,SHREVEPORT,LA,71106,United States,Yes,No,2,Yes
DRILLING SPECIALTIES DIV OF CHEVRON PHILIPS,No,DRILLING SPECIALTIES DIV OF CHEVRON PHILIPS,2,HALLSA@CPCHEM.COM,(225) 717-4088,DRILLING SPECIALTIES DIV OF CHEVRON PHILIPS,(225) 717-4088,5450 JEFFERSON CHEMICAL ROAD,CONROE,TX,77301,United States,Yes,No,11,Yes
DRIVETECH AUTOMATION,No,DRIVETECH AUTOMATION,10,SALES@DRIVETECHONLINE.COM,(954) 746-9800,DRIVETECH AUTOMATION,(954) 746-9800,5401 NW 102ND AVE. #146,SUNRISE,FL,33351,United States,Yes,No,2,No
DUKE ENERGY PROGRESS,No,DUKE ENERGY PROGRESS,4,SupplierServices@duke-energy.com,(812) 386-4383,DUKE ENERGY PROGRESS,(812) 386-4383,POB 37929 ST25B,CHARLOTTE,NC,28237,United States,Yes,No,2,No
DUNCAN COMPANY,No,DUNCAN COMPANY,10,PAYABLES@DUNCANCO.COM,(612) 331-1776,DUNCAN COMPANY,(612) 331-1776,425 HOOVER STREET NE,MINNEAPOLIS,MN,55413,United States,Yes,No,2,No
DXP ENTERPRISES 1908,No,DXP ENTERPRISES 1908,10,Accountspayable@dxpe.com,(903) 531-6033,DXP ENTERPRISES 1908,(903) 531-6033,POB 2892,CLINTON,IA,52733-2892,United States,Yes,No,17,No
EADS/EPSCO,No,EADS/EPSCO,9,ap@fcxperformance.com,(614) 253-1996,EADS/EPSCO,(614) 253-1996,3000 E 14TH AVENUE,COLUMBUS,OH,43219,United States,Yes,No,2,No
EAST BAY MUD/EBMUD,No,EAST BAY MUD/EBMUD,4,warren.taylor@ebmud.com,(209) 772-8213,EAST BAY MUD/EBMUD,(209) 772-8213,1804 W. MAIN ST,STOCKTON,CA,95203,United States,Yes,No,11,Yes
EASTMAN GAS CO,No,EASTMAN GAS CO,2,tonyc@fairplaygas.com,(903) 806-4757,EASTMAN GAS CO,(903) 806-4757,POB 2851,LONGVIEW,TX,75606,United States,Yes,No,11,Yes
ECO SERVICES OPERATIONS,No,ECO SERVICES OPERATIONS,2,AP@eco-services.com,(225) 359-3713,ECO SERVICES OPERATIONS,(225) 359-3713,POB 830,VALLEY FORGE,PA,19482,United States,Yes,No,2,Yes
EDGEN MURRAY CORP,No,EDGEN MURRAY CORP,1,apnotify@edgenmurray.com,(225) 756-9868,EDGEN MURRAY CORP,(225) 756-9868,POB 84160,BATON ROUGE,LA,70884,United States,Yes,No,2,No
ELEMENTIS GLOBAL LLC,No,ELEMENTIS GLOBAL LLC,2,accounts.payable.na@elementis.com,(910) 675-7280,ELEMENTIS GLOBAL LLC,(910) 675-7280,469 OLD TRENONT ROAD BLDG 100,EAST WINDSOR,NJ,08512,United States,Yes,No,17,Yes
ELITE SUPPLY PARTNERS INC,No,ELITE SUPPLY PARTNERS INC,10,deborah.mcvay@elitesupplypartners.com,(817) 599-3889,ELITE SUPPLY PARTNERS INC,(817) 599-3889,PO BOX 2112,ODESSSA,TX,79760,United States,Yes,No,2,Yes
ENABLE MIDSTREAM PARTNERS,No,ENABLE MIDSTREAM PARTNERS,6,APInvoiceSETp.mailbox@energytransfer.com,(318) 698-6424,ENABLE MIDSTREAM PARTNERS,(318) 698-6424,POB 258853,OKLAHOMA CITY,OK,73125,United States,Yes,No,2,No
ENBRIDGE PIPELINE,No,ENBRIDGE PIPELINE,6,apinvoicesubmission@midcoastenergy.com,903-860-2125,ENBRIDGE PIPELINE,903-860-2125,5400 WESTHEIMER COURT,HOUSTON,TX,77002,United States,Yes,No,2,No
ENERCORP,No,ENERCORP,10,rnorred@enercop.net,,ENERCORP,,175 P.R. 7335,DEBERRY,TX,75639,United States,Yes,No,11,Yes
ENERFIN RESOURCES,No,ENERFIN RESOURCES,6,ap@enerfin.com,(713) 888-8615,ENERFIN RESOURCES,(713) 888-8615,POB 472,SEMINOLE,OK,74818-0472,United States,Yes,No,2,Yes
ENERFLEX MIDDLE EAST LLC,No,ENERFLEX MIDDLE EAST LLC,8,emea.finance@enerflex.com,97124979100,ENERFLEX MIDDLE EAST LLC,97124979100,"POB 43103 
MUSCAT",SULTANATE OF OMAN,OMAN,,Oman,Yes,No,2,Yes
ENERFLEX SERVICES INC,No,ENERFLEX SERVICES INC,8,LATAMAccountsPayable@enerflex.com,(281) 856-4300,ENERFLEX SERVICES INC,(281) 856-4300,711 LOUISIANA STR STE# 710,HOUSTON,TX,77002,United States,Yes,No,17,No
ENERGY  HYDRAULICS,No,ENERGY  HYDRAULICS,10,lbartalini@energyhyd.com,(318) 629-0322,ENERGY  HYDRAULICS,(318) 629-0322,4500 INDUSTRIAL DRIVE EXT,BOSSIER CITY,LA,71112,United States,Yes,No,2,No
Energy Control L.L.C.,No,Energy Control L.L.C.,10,ladacey@energy2steam.com,9736860648,Energy Control L.L.C.,9736860648,1235 State Rt 23,Butler,NJ,07405,United States,Yes,No,2,No
ENERGY TRANSFER,No,ENERGY TRANSFER,6,rebecca.oyerbides@energytransfer.com,(432) 308-2008,ENERGY TRANSFER,(432) 308-2008,POB 38,COYANOSA,TX,79730,United States,Yes,No,2,Yes
ENERGY TRANSFER (DALLAS),No,ENERGY TRANSFER (DALLAS),6,APInvoicesETP.mailbox@energytransfer.com,(318) 239-1216,ENERGY TRANSFER (DALLAS),(318) 239-1216,POB 132400,DALLAS,TX,75313,United States,Yes,No,2,Yes
ENERGY TRANSFER (JACK),No,ENERGY TRANSFER (JACK),6,apinvoicesetp.mailbox@energytransfer.com,(903) 541-2606,ENERGY TRANSFER (JACK),(903) 541-2606,1044 N JACKSON,JACKSONVILLE,TX,75766,United States,Yes,No,2,No
"Energy Transfer Group, L.L.C.",No,"Energy Transfer Group, L.L.C.",6,apinvoicesetp.mailbox@energytransfer.com,(318) 371-1978,"Energy Transfer Group, L.L.C.",(318) 371-1978,140 View Point Rd,Bossier City,LA,71112,United States,Yes,No,2,Yes
ENERGY TRANSFER. minden,No,ENERGY TRANSFER. minden,6,APInvoicesETP.mailbox@energytransfer.com,(318) 371-7829,ENERGY TRANSFER. minden,(318) 371-7829,10220 HWY 80,MINDEN,LA,71055,United States,Yes,No,2,Yes
ENGINEERED POWER AND CONTROL,No,ENGINEERED POWER AND CONTROL,10,kyle@epcsinc.com,(601) 832-3002,ENGINEERED POWER AND CONTROL,(601) 832-3002,"110 METROPLEX BLVD
STE G",PEARL,MS,39208,United States,Yes,No,2,Yes
ENGINEWORXS SALES AND SERVICES,No,ENGINEWORXS SALES AND SERVICES,10,,(575) 616-1775,ENGINEWORXS SALES AND SERVICES,(575) 616-1775,225 LAKE ARTHUR HWY,ARTESIA,NM,88210,United States,Yes,No,11,Yes
ENLINK TIGER GAS PLANT,No,ENLINK TIGER GAS PLANT,6,invoices@enlink.com,(432) 248-6630,ENLINK TIGER GAS PLANT,(432) 248-6630,31783 US HWY 285,ORLA,TX,79770,United States,Yes,No,2,Yes
ENTERPRISE,No,ENTERPRISE,6,jlbranch@eprod.com,(903) 812-2630,ENTERPRISE,(903) 812-2630,2105 CITY WEST BLVD STE# 100,HOUSTON,TX,77092,United States,Yes,No,11,Yes
ENTERPRISE (BC),No,ENTERPRISE (BC),6,jamiller@eprod.com,,ENTERPRISE (BC),,4731 VIKING DRIVE,BOSSIER CITY,LA,71111,United States,Yes,No,2,Yes
ENTERPRISE NAVITAS MIDSTREAM MIDLAND,No,ENTERPRISE NAVITAS MIDSTREAM MIDLAND,6,apadministration@eprod.com,(713) 381-8149,ENTERPRISE NAVITAS MIDSTREAM MIDLAND,(713) 381-8149,POB 4735,HOUSTON,TX,77210-4735,United States,Yes,No,2,No
ENVASCO,No,ENVASCO,10,brenda@envasco.com,(713) 675-7525,ENVASCO,(713) 675-7525,8207 N LOOP EXPRESS #400,HOUSTON,TX,77029,United States,Yes,No,2,No
EPIC Y-GRADE LOGISTICS LP,No,EPIC Y-GRADE LOGISTICS LP,6,kathy.ochoa@epicmid.com,(210) 728-3026,EPIC Y-GRADE LOGISTICS LP,(210) 728-3026,18615 TUSCANY STONE STE# 300,SAN ANTONIO,TX,78258,United States,Yes,No,2,No
EPS AFRICA FZE,No,EPS AFRICA FZE,9,invoices@fr-eps.com,,EPS AFRICA FZE,,POB 26877,DUBAI,UNITED ARAB EMIRATES,,United Arab Emirates,Yes,No,2,No
ERVING INDUSTRIES dba ERVING PAPER MILL,No,ERVING INDUSTRIES dba ERVING PAPER MILL,5,payables@ervingpapermill.com,(413) 422-2700,ERVING INDUSTRIES dba ERVING PAPER MILL,(413) 422-2700,97 EAST MAIN STREET,ERVING,MA,01344,United States,Yes,No,2,No
ETC TEXAS PIPELINE,No,ETC TEXAS PIPELINE,6,APInvoicesETP.mailbox@energytransfer.com,,ETC TEXAS PIPELINE,,POB 13240,DALLAS,TX,75313,United States,Yes,No,2,No
ETC TEXAS PROCESSING LTD,No,ETC TEXAS PROCESSING LTD,6,apinvoicesetp.mailbox@energytransfer.com,361.698.4152,ETC TEXAS PROCESSING LTD,361.698.4152,POB 132400,DALLAS,TX,75313,United States,Yes,No,2,No
ETC TEXAS PROSESSING LTD,No,ETC TEXAS PROSESSING LTD,6,apinvoicesetp.mailbox@energytransfer.com,(409) 698-9606,ETC TEXAS PROSESSING LTD,(409) 698-9606,"ACCOUNTS PAYABLE
428 CR 200",BROOKELAND,TX,75931,United States,Yes,No,2,No
EUROCOMPONENTES Y SERVICIOS IND,No,EUROCOMPONENTES Y SERVICIOS IND,10,OZUNIGA@EUROCOMPONENTES.COM.MX,,EUROCOMPONENTES Y SERVICIOS IND,,"AV,MARQUES DE MONTEMAYOR 642, INT.49
FRACC REAL DE MARQUES",QUERTARO CP,76118,,Mexico,Yes,No,11,Yes
EXELON NUCLEAR,No,EXELON NUCLEAR,4,,(815) 416-3546,EXELON NUCLEAR,(815) 416-3546,6500 NORTH DRESDEN ROAD,MORRIS,IL,60450,United States,Yes,No,2,Yes
EXTERRAN ENERGY SOLUTIONS L.P.,No,EXTERRAN ENERGY SOLUTIONS L.P.,8,submit.invoice@exterran.com,,EXTERRAN ENERGY SOLUTIONS L.P.,,POB 671427,HOUSTON,TX,77267-0089,United States,Yes,No,2,No
EXXON MOBIL,No,EXXON MOBIL,2,stephanie.b.katers@exxonmobil.com,(805) 961-4108,EXXON MOBIL,(805) 961-4108,12000 CALLE REAL,GOLETA,CA,93117,United States,Yes,No,2,Yes
EXXON MOBIL UPSTREAM,No,EXXON MOBIL UPSTREAM,2,robert.l.wallace@exxonmobil.com,(903) 769-7935,EXXON MOBIL UPSTREAM,(903) 769-7935,155 PRIVATE ROAD 7652,HAWKINS,TX,75765,United States,Yes,No,2,Yes
F & A INDUSTRIAL SALES,No,F & A INDUSTRIAL SALES,10,,,F & A INDUSTRIAL SALES,,"65-A UNRUBIA ST BRGY MARILAG
PROJ. 4 1109",QUEZON CITY,METRO MANILA,,Philipines,Yes,No,11,Yes
F.W. WEBB,No,F.W. WEBB,10,KAIT@FWWEBB.COM,(207) 873-7741,F.W. WEBB,(207) 873-7741,37 HEYWOOD ROAD,WINSLOW,ME,04901,United States,Yes,No,11,Yes
FARCOM INDUSTRIAL SA DE CV,No,FARCOM INDUSTRIAL SA DE CV,9,dani@farcomindustrial.com,,FARCOM INDUSTRIAL SA DE CV,,"CARRETERA NACIONAL KM 265
COL EL URO",MONTERREY,NL,64986,United States,Yes,No,2,Yes
FCX PERFORMANCE,No,FCX PERFORMANCE,10,ap@fcxperformance.com,6143246050,FCX PERFORMANCE,6143246050,3000 E 14th Ave,Columbus,OH,43219,United States,Yes,No,2,No
FEAZEL ELECTRICAL,No,FEAZEL ELECTRICAL,10,lrogers@feazelelectric.com,(318) 686-5100,FEAZEL ELECTRICAL,(318) 686-5100,POB 17826,SHREVEPORT,LA,71138,United States,Yes,No,2,Yes
"FERGUSON ENTERPRISES, INC",No,"FERGUSON ENTERPRISES, INC",9,SAC266.VendorInvoices@ferguson.com,(757) 874-7795,"FERGUSON ENTERPRISES, INC",(757) 874-7795,POB 9406,HAMPTON,VA,23670-0406,United States,Yes,No,2,No
"First Instrument Solutions, Ltd.",No,"First Instrument Solutions, Ltd.",10,gperez@calibrationdepot.com,(361) 887-9001,"First Instrument Solutions, Ltd.",(361) 887-9001,"POB 542
5233 Th 37 Ste C18",Corpus Christi,TX,78408,United States,Yes,No,2,No
FLOTECH INC,No,FLOTECH INC,10,rallen@flotechinc.com,(843) 554-5553,FLOTECH INC,(843) 554-5553,2097 HAYTER STREET BLDG 226A,NORTH CHARLESTON,SC,29405,United States,Yes,No,2,Yes
FLOW CONTROL AND MEASUREMENT S.A.,No,FLOW CONTROL AND MEASUREMENT S.A.,10,david.castellanos@fcmmex.com,,FLOW CONTROL AND MEASUREMENT S.A.,,"BLVD. ALDOLFO RUIZ CORTINEZ NO. 3510
ALTOS.COL. COSTA DE ORO
BOCA DEL RIO","VERACRUZ, C.P.",,94299,Mexico,Yes,No,11,Yes
FLOW CONTROL EQUIPMENT.,No,FLOW CONTROL EQUIPMENT.,10,amyh@flowcontrolequip.com,(337) 233-2881,FLOW CONTROL EQUIPMENT.,(337) 233-2881,POB 60939,LAFAYETTE,LA,70596,United States,Yes,No,2,No
FLUID FLOW,No,FLUID FLOW,10,APWEST@FLUIDFLOW.COM,(918) 663-5310,FLUID FLOW,(918) 663-5310,7255 D 46TH STREET,TULSA,OK,74145,United States,Yes,No,2,No
FOX FOR INTERNATIONAL TRADING,No,FOX FOR INTERNATIONAL TRADING,10,rhoskins@sullivanprocess.com,,FOX FOR INTERNATIONAL TRADING,,"19 EL SUEZ STREET
BEHIND EL SALAAB WAREHOUSE
EL ZAHRAA",NASR CITY,CAIRO,,Egypt,Yes,No,11,Yes
FOX RIVER FIBER CO,No,FOX RIVER FIBER CO,5,ap@sustanagroup.com,(920) 676-1744,FOX RIVER FIBER CO,(920) 676-1744,1751 W MATTHEW DRIVE,DEPERE,WI,54115,United States,Yes,No,2,No
FR INTEGRITY LLC DBA EVERLINE COMPLIANCE LLC,No,FR INTEGRITY LLC DBA EVERLINE COMPLIANCE LLC,10,julie.williams@everlineus.com,(936) 447-6100,FR INTEGRITY LLC DBA EVERLINE COMPLIANCE LLC,(936) 447-6100,"4203 MONTROSE BLVD, STE. 670",HOUSTON,TX,77006,United States,Yes,No,2,Yes
FTC COMBUSTION,No,FTC COMBUSTION,8,,,FTC COMBUSTION,,"3107 STIRLING ROAD
STE# 307",FORT LAUDERDALE,FL,33312,United States,Yes,No,11,Yes
FULTON SYSTEMS,No,FULTON SYSTEMS,8,accounting@fultonsystems.com,7704471400,FULTON SYSTEMS,7704471400,5875 PEACHTREE INDUSTRIAL BLVD STE# 330,NORCROSS,GA,30092-3401,United States,Yes,No,17,No
G & G,No,G & G,10,jgriffin.gandgoilfield@gmail.com,(361) 576-5320,G & G,(361) 576-5320,"1201 WOOD HI RD.
ATT: JUDY",VICTORIA,TX,77905,United States,Yes,No,2,No
GALLOUP,No,GALLOUP,10,apinvoices@galloup.com,(616) 245-1195,GALLOUP,(616) 245-1195,5101 S SPRINKLE ROAD,PORTAGE,MI,49002-2049,United States,Yes,No,2,No
GAO JIA STOCK CO,No,GAO JIA STOCK CO,10,INFO@SINBIDER.COM.TW,8.86427E+11,GAO JIA STOCK CO,8.86427E+11,"NO. 3 WUFENG RD
BANQIAO DIST",NEW TAIPEI CITY 220,TAIWAN,,Taiwan,Yes,No,2,Yes
"Gas Processors, Inc.",No,"Gas Processors, Inc.",8,psanford@gasprocessorsinc.com,(601) 736-1600,"Gas Processors, Inc.",(601) 736-1600,POB 683,Columbia,MS,39429,United States,Yes,No,2,No
GAS TECHNOLOGY CORP,No,GAS TECHNOLOGY CORP,8,gastech@gastech.net,(972) 255-7800,GAS TECHNOLOGY CORP,(972) 255-7800,POB 111,TRENT,TX,79561,United States,Yes,No,2,No
GATEWAY AUTOMATION INSTRUMENTATION,No,GATEWAY AUTOMATION INSTRUMENTATION,10,Jimmy.hall@gai-automation.com,(903) 235-5770,GATEWAY AUTOMATION INSTRUMENTATION,(903) 235-5770,457 SPOKANE STREET,GLADEWATER,TX,75647,United States,Yes,No,2,No
GEM-TRIM OF HOUMA,No,GEM-TRIM OF HOUMA,10,jfilce@gem-trim.com,9858681586,GEM-TRIM OF HOUMA,9858681586,148 EQUITY BLVD,HOUMA,LA,70360,United States,Yes,No,2,No
GENON,No,GENON,4,MorgantownInvoices@genon.com,,GENON,,POB 438,MAPLE GROVE,MN,55369,United States,Yes,No,2,No
GEONIX LP,No,GEONIX LP,10,Marggie@geonixlp.com,(903) 983-3249,GEONIX LP,(903) 983-3249,POB 2169,KILGORE,TX,75663,United States,Yes,No,11,No
GEORGIA PACIFIC,No,GEORGIA PACIFIC,5,frankie.hart@motion-ind.com,(870) 353-5334,GEORGIA PACIFIC,(870) 353-5334,"MOTION INDUSTRIES
POB 1655",BIRMINGHAM,AL,35201,United States,Yes,No,11,No
GEORGIA PACIFIC (FL),No,GEORGIA PACIFIC (FL),5,alee@sullivanprocess.com,(518) 561-3500,GEORGIA PACIFIC (FL),(518) 561-3500,"7016 A.C. SKINNER PRWY (ZIP 32256)
POB 44182",JACKSONVILLE,FL,32231-4182,United States,Yes,No,2,Yes
"GEP HAYNESVILLE II, LLC",No,"GEP HAYNESVILLE II, LLC",6,kgish@GEPH2.com,2813639161,"GEP HAYNESVILLE II, LLC",2813639161,1425 Lake Front Cir,The Woodlands,TX,77380,United States,Yes,No,2,Yes
GESCO SUPPLY INC,No,GESCO SUPPLY INC,10,gesco@gescosupply.com,(281) 436-7031,GESCO SUPPLY INC,(281) 436-7031,9597 JONES ROAD #725,HOUSTON,TX,77065,United States,Yes,No,2,No
GEXPRO,No,GEXPRO,10,aldo.spadaro@gexpro.com,,GEXPRO,,150 E. NINTH AVE. SUITE A,RUNNEMEDE,NJ,08078,United States,Yes,No,11,Yes
GLOBAL SUPPLY INC,No,GLOBAL SUPPLY INC,10,jose.pabon@globalspinc.com,(786) 660-1064,GLOBAL SUPPLY INC,(786) 660-1064,8620 NW 66 S ST,MIAMI,FL,33166,United States,Yes,No,2,Yes
GRAYTON CONTROL SERVICES,No,GRAYTON CONTROL SERVICES,10,fuelair@aol.com,(978) 499-9175,GRAYTON CONTROL SERVICES,(978) 499-9175,41A RAILROAD AVENUE,SEABROOK,NH,03874,United States,Yes,No,11,Yes
GREAT BASIN COLLEGE,No,GREAT BASIN COLLEGE,3,sheree.beard@gbcnv.edu,(775) 738-8493,GREAT BASIN COLLEGE,(775) 738-8493,"ATTN: CONTROLLERS OFFICE
1500 COLLEGE PARKWAY",ELKO,NV,89801,United States,Yes,No,2,No
GREAT WESTERN VALVE.,No,GREAT WESTERN VALVE.,10,AP@gwvalve.com,(713) 455-9400,GREAT WESTERN VALVE.,(713) 455-9400,14247 BANDERA STREET,HOUSTON,TX,77015,United States,Yes,No,2,No
GREGORY SALES & SERVICE INC.,No,GREGORY SALES & SERVICE INC.,10,,(361) 573-5988,GREGORY SALES & SERVICE INC.,(361) 573-5988,114 TAYLORCREST STREET,VICTORIA,TX,77905,United States,Yes,No,11,No
GT CORP,No,GT CORP,10,ventas@dkptrading.com,(305) 406-0003,GT CORP,(305) 406-0003,8458 NW 70 STREET,MIAMI,FL,33166,United States,Yes,No,11,Yes
GULF COAST TMC (CLINTON),No,GULF COAST TMC (CLINTON),10,accounting@gulfcoasttmc.com,(318) 775-5679,GULF COAST TMC (CLINTON),(318) 775-5679,POB 8337,CLINTON,LA,70722,United States,Yes,No,2,No
GULF SENSORS INC,No,GULF SENSORS INC,10,Debbie@gulfsensors.com,(225) 273-3233,GULF SENSORS INC,(225) 273-3233,POB 45543,BATON ROUGE,LA,70895,United States,Yes,No,2,No
GULF SOUTH PIPELINE (LAKE BIST),No,GULF SOUTH PIPELINE (LAKE BIST),6,Lindsay.Owens@bwpipelines.com,(318) 894-9629,GULF SOUTH PIPELINE (LAKE BIST),(318) 894-9629,407 HWY 371,RINGGOLD,LA,7110671068,United States,Yes,No,2,Yes
GYL LLC,No,GYL LLC,10,gylllc1904@gmail.com,(305) 607-9424,GYL LLC,(305) 607-9424,801 BRICKELL KEY BLVD #1703,MIAMI,FL,33131,United States,Yes,No,11,Yes
HARVEST MIDSTREAM,No,HARVEST MIDSTREAM,6,JThomas@harvestmidstream.com,(361) 543-0494,HARVEST MIDSTREAM,(361) 543-0494,127 CR 384,GEORGE WEST,TX,78022,United States,Yes,No,11,Yes
"HATFIELD AND COMPANY, INC",No,"HATFIELD AND COMPANY, INC",1,ap_dallas@hatfieldandcompany.com,(972) 285-0115,"HATFIELD AND COMPANY, INC",(972) 285-0115,2475 DISCOVERY BLVD,ROCKWALL,TX,75032,United States,Yes,No,2,No
HAYGOR INSTRUMENT.,No,HAYGOR INSTRUMENT.,10,accounting@haygor.com,(800) 851-1791,HAYGOR INSTRUMENT.,(800) 851-1791,6322 NUNN,HOUSTON,TX,77087,United States,Yes,No,2,No
HB FULLER/ROYAL ADHESIVES,No,HB FULLER/ROYAL ADHESIVES,3,kevin.snipes@hbfuller.com,(864) 228-1329,HB FULLER/ROYAL ADHESIVES,(864) 228-1329,2001 WEST WASHINGTON ST,SOUTH BEND,IN,46628,United States,Yes,No,11,Yes
HEALTHY PET,No,HEALTHY PET,3,jdouglas@healthy-pet.com,912-810-1023,HEALTHY PET,912-810-1023,6960 SALSHAN PKWY,FERNDALE,WA,98248,United States,Yes,No,2,No
HEAT TRANSFER SOLUTIONS,No,HEAT TRANSFER SOLUTIONS,10,,(615) 274-2382,HEAT TRANSFER SOLUTIONS,(615) 274-2382,11040 SOUTH WINDROW ROAD,ROCKVALE,TN,37153,United States,Yes,No,11,No
HEXION,No,HEXION,2,denise.robertson@hexion.com,(888) 524-8800,HEXION,(888) 524-8800,POB 1310,COLUMBUS,OH,43216,United States,Yes,No,11,Yes
HIGHT DESERT VALVE & EQUIPMENT CO.,No,HIGHT DESERT VALVE & EQUIPMENT CO.,10,markc@highdesertvalve.com,(505) 325-8258,HIGHT DESERT VALVE & EQUIPMENT CO.,(505) 325-8258,550 DEKALB UNITS C & D,FARMINGTON,NM,87401,United States,Yes,No,2,Yes
HILCORP ENERGY,No,HILCORP ENERGY,6,berickson@hilcorp.com,(307) 313-7094,HILCORP ENERGY,(307) 313-7094,POB 61529,HOUSTON,TX,77208-1529,United States,Yes,No,2,Yes
"HILE CONTROLS, INC",No,"HILE CONTROLS, INC",9,hile.orders@hilecontrolsinc.com,(205) 620-4000,"HILE CONTROLS, INC",(205) 620-4000,311 APPLEGATE PKWY,PELHAM,AL,35124,United States,Yes,No,2,No
Hollingsworth & Vose Company,No,Hollingsworth & Vose Company,3,charlie.spears@hovo.com,(508) 668-0295,Hollingsworth & Vose Company,(508) 668-0295,112 Washington St,East Walpole,MA,02032,United States,Yes,No,11,Yes
HOUSTON PROCUREMENT INTERN'L,No,HOUSTON PROCUREMENT INTERN'L,10,accounting@hprocurementIntl.com,(281) 214-8104,HOUSTON PROCUREMENT INTERN'L,(281) 214-8104,16206 ADLINE WESTFIELD ROAD,HOUSTON,TX,77032,United States,Yes,No,11,No
HUNTSMAN INTERNATIONAL,No,HUNTSMAN INTERNATIONAL,2,americasinvoice@ap.huntsman.com,(713) 924-6404,HUNTSMAN INTERNATIONAL,(713) 924-6404,101 CONCRETE STREET,HOUSTON,TX,77012,United States,Yes,No,17,No
HUNTSMAN PERFORMANCE CHEMICAL,No,HUNTSMAN PERFORMANCE CHEMICAL,2,hunapinvoices@huntsman.com,(877) 761-2967,HUNTSMAN PERFORMANCE CHEMICAL,(877) 761-2967,POB 982159,EL PASO,TX,79998-2159,United States,Yes,No,2,No
HYDRAULIC EXCHANGE,No,HYDRAULIC EXCHANGE,10,sales@hydraulicexcangellc.com,,HYDRAULIC EXCHANGE,,5404 INDUSTRIAL DRIVE EXT.,BOSSIER CITY,LA,71112,United States,Yes,No,2,Yes
IMPAR ARGENTINA S.A.,No,IMPAR ARGENTINA S.A.,10,,,IMPAR ARGENTINA S.A.,,"AV. RIVADAVIA 11088
PISO 6 B",CAPITAL FEDERAL,,,Argentina,Yes,No,11,No
INEOS ABS USA LLC,No,INEOS ABS USA LLC,2,INSTY.us.3011@ineos.com,,INEOS ABS USA LLC,,"ATTN: ACCOUNTS PAYABLE
4245 MERIDIAN PKWY STE# 151",AURORA,IL,60504,United States,Yes,No,2,No
INEOS NITRILES USA LLC,No,INEOS NITRILES USA LLC,2,glkap@ineos.com,(361) 552-8649,INEOS NITRILES USA LLC,(361) 552-8649,"13060 STATE HWY 185 N
POB 659",PORT LAVACA,TX,77979,United States,Yes,No,3,No
INFINITY ELECTRIC,No,INFINITY ELECTRIC,10,josephmjr@gmail.com,(903) 539-8090,INFINITY ELECTRIC,(903) 539-8090,"DBA JOSEPH MESSIMER
POB 631086",NACOGDOCHES,TX,75963,United States,Yes,No,2,No
INGEVITY CORPORATION,No,INGEVITY CORPORATION,2,sapinv.ingevity@conduent.com,337-462-4568,INGEVITY CORPORATION,337-462-4568,POB 982493,EL PASO,TX,79998-2493,United States,Yes,No,2,No
INSTRUMENTATION.COM,No,INSTRUMENTATION.COM,10,INVOICES@INSTRUMENTATION.COM,(610) 446-6600,INSTRUMENTATION.COM,(610) 446-6600,"A SHELBY JONES COMPANY
POB 508",HAVERTOWN,PA,19083,United States,Yes,No,2,No
INTEGRAL DYNAMICS INC,No,INTEGRAL DYNAMICS INC,10,amym@integraldynamics.com,(405) 286-3425,INTEGRAL DYNAMICS INC,(405) 286-3425,POB 720125,OKLAHOMA CITY,OK,73172,United States,Yes,No,2,No
INTEGRITY CONTROLS INC,No,INTEGRITY CONTROLS INC,10,,,INTEGRITY CONTROLS INC,,3545 S PLATTE RIVER DRIVE #C,ENGLEWOOD,CO,80110,United States,Yes,No,2,No
INTERMOUNTAIN POWER SERVICE CORP,No,INTERMOUNTAIN POWER SERVICE CORP,4,Brandon.George@ipsc.com,(435) 864-6466,INTERMOUNTAIN POWER SERVICE CORP,(435) 864-6466,850 WEST BRUSHWELLMAN ROAD,DELTA,UT,84624,United States,Yes,No,11,No
INTERNATIONAL OIL AND GAS TRADING,No,INTERNATIONAL OIL AND GAS TRADING,10,gabriela.coronel@mexigot.com,(713) 341-9804,INTERNATIONAL OIL AND GAS TRADING,(713) 341-9804,1 RIVERWAY STE# 1125,HOUSTON,TX,77056,United States,Yes,No,11,No
INTERNATIONAL PAPER MANSFIELD,No,INTERNATIONAL PAPER MANSFIELD,5,APinvoices@ipaper.com,(318) 871-1481,INTERNATIONAL PAPER MANSFIELD,(318) 871-1481,POB 5383,PORTLAND,OR,97228-5383,United States,Yes,No,3,No
