entityId,phone,Address1_phone,Internal Id
VENERGY GROUP,(772) 468-0053,(772) 468-0053,990
VERITAS GAS PROCESSING,,,991
VESCO,(580) 256-2569,(580) 256-2569,992
VESCO INC.,(580) 256-2569,(580) 256-2569,993
VP SALES & MANUFACTURING L.P.,(361) 664-2999,(361) 664-2999,994
VRC PROTX LLC,(248) 658-9251,(248) 658-9251,995
W.R. GRACE & CO.,(423) 697-8258,(423) 697-8258,996
WARE INC,(502) 962-0978,(502) 962-0978,997
WARRIOR SUPPLY INC,(830) 672-6400,(830) 672-6400,998
WEIDMANN ELECTRICAL TECH,(937) 652-1220,(937) 652-1220,999
WEISS INDUSTRIAL,(412) 344-1500,(412) 344-1500,1000
WELLHEAD SERVICES,(916) 447-5171,(916) 447-5171,1001
WEST MECHANICAL,(270) 702-7700,(270) 702-7700,1002
WESTERN PROCESS CONTROLS PTY LTD,618 9455 3590,618 9455 3590,1003
WESTERN STATES AUTOMATION,(866) 473-2747,(866) 473-2747,1004
WESTROCK,(904) 330-3115,(904) 330-3115,1005
WGS EQUIPMENT & CONTROLS INC,(610) 459-8800,(610) 459-8800,1006
WHEELABRATOR FALLS INC.,(215) 736-1760,(215) 736-1760,1007
WHITCO Instument Sales & Service,(432) 639-2086,(432) 639-2086,1008
WHITCO SUPPLY,(337) 837-2440,(337) 837-2440,1009
WHITE ROCK OIL & GAS,(214) 981-1400,(214) 981-1400,1010
WILLIAMS COMPANY,(318) 687-0491,(318) 687-0491,1011
WILLIAMS.,(570) 888-0920,(570) 888-0920,1012
WINN CONSULTING & SERVICE,(903) 541-4883,(903) 541-4883,1013
WOODROW LLC,(913) 220-0558,(913) 220-0558,1014
XCL MIDSTREAM,(724) 531-8036,(724) 531-8036,1015
XTO ENERGY,(318) 832-4215,(318) 832-4215,1016
YENNAI AMERICAS LLC,(281) 740-2873,(281) 740-2873,1017
